Date,Close, Open, High, Low, Volume
1/17/2020,138.31,136.54,138.33,136.16,5623336
1/16/2020,137.98,137.32,138.19,137.01,4320911
1/15/2020,136.62,136,138.055,135.71,4045952
1/14/2020,135.82,136.28,137.139,135.55,3683458
1/13/2020,136.6,135.48,136.64,135.07,3531572
1/10/2020,136.69,137,137.87,136.31,3255641
1/9/2020,136.74,135.74,136.79,135.31,3732830
1/8/2020,135.31,134.51,135.86,133.92,4346140
1/7/2020,134.19,133.69,134.96,133.4,3275968
1/6/2020,134.1,133.42,134.24,133.2,2426305
1/3/2020,134.34,133.57,134.86,133.56,2373676
1/2/2020,135.42,135,135.92,134.7701,3148833
12/31/2019,134.04,132.53,134.12,132.4,3778012
12/30/2019,132.81,135.2,135.3,132.5,4118937
12/27/2019,135.27,135,135.75,134.87,2752706
12/26/2019,134.91,134.98,135.3055,134.65,2130706
12/24/2019,134.98,135.61,135.62,134.61,1202087
12/23/2019,135.55,135.78,136.15,135,2803168
12/20/2019,135.59,135.74,136.42,134.95,7112072
12/19/2019,134.56,134.46,134.725,134.19,3866717
12/18/2019,134.41,134.55,135,134.1504,3102353
12/17/2019,134.22,134.28,134.69,133.46,2907547
12/16/2019,134.13,134.94,135.45,133.85,3049325
12/13/2019,134.21,134.75,135.5,134.01,2534970
12/12/2019,135.32,133.7,135.6604,133.66,4824186
12/11/2019,133.76,134.11,134.51,133.67,3953311
12/10/2019,133.91,133.92,134.84,133.56,3480385
12/9/2019,133.92,133.35,134.59,133.26,2978801
12/6/2019,133.22,132.75,133.89,132.7,3437994
12/5/2019,131.91,132.99,133.24,131.6264,3598578
12/4/2019,131.99,132.86,133.68,131.96,3530773
12/3/2019,132.12,132,132.44,130.689,3711071
12/2/2019,132.91,134.45,134.5,132.48,3067831
11/29/2019,134.45,133.6,134.52,133.03,1825255
11/27/2019,133.77,135.35,135.71,133.62,3282827
11/26/2019,135.09,136.15,136.15,134.77,3793337
11/25/2019,135.97,134.47,136,134.35,2590170
11/22/2019,134.34,134.19,134.65,133.59,3297797
11/21/2019,133.84,133.4,134.17,132.98,3345343
11/20/2019,133.2,134.06,134.4614,132.75,4140148
11/19/2019,134.52,134.88,135.38,134.46,2995071
11/18/2019,134.31,134.3,134.48,133.23,3210872
11/15/2019,134.4,134.39,135.12,134.03,3262656
11/14/2019,134,134.13,134.33,133.33,4231471
11/13/2019,134.48,135.39,135.58,133.845,3060924
11/12/2019,135.59,135.87,136.66,135.02,3046536
11/11/2019,135.47,137.2,137.2,135,2568755
11/8/2019,137.61,137.58,137.61,136.16,2278602
11/7/2019,137.69,137.87,139.135,137.58,4073908
11/6/2019,138.78,138,138.78,137.55,4477291
11/5/2019,137.89,137.8,138.76,137.63,3014961
11/4/2019,137.67,136.24,137.74,136.23,3335389
11/1/2019,135.53,134.5,135.56,134.09,3089789
10/31/2019,133.73,135.11,135.25,133.23,3412119
10/30/2019,135.25,133.83,135.28,133.2,2252989
10/29/2019,133.82,135.42,135.57,133.44,4160718
10/28/2019,135.97,136,136.63,135.445,3226132
10/25/2019,135.44,134.12,135.93,134.1,2579055
10/24/2019,134.07,134.83,135.07,133.3,2619309
10/23/2019,134.38,133.52,134.565,132.7,3627345
10/22/2019,133.96,132.55,134.05,131.61,4195803
10/21/2019,132.58,132.61,133.1,130.9,6372983
10/18/2019,134.09,134.22,134.49,132.25,7178379
10/17/2019,134.26,135,136,132.91,15830810
10/16/2019,142.11,142.49,142.95,141.3905,5915705
10/15/2019,143,142.54,143.72,141.81,3046999
10/14/2019,142.04,142.31,142.43,141.32,2325609
10/11/2019,142.76,142.77,144.5,142.61,3018669
10/10/2019,141.13,139.77,141.78,139.56,2646693
10/9/2019,139.67,139.77,140.33,138.79,2633472
10/8/2019,138.38,140.24,140.4749,138.25,3344083
10/7/2019,141.28,142.26,142.7,141.22,2488799
10/4/2019,142.99,142.06,143.06,141.03,2449483
10/3/2019,142.02,141.62,142.07,139.18,3161718
10/2/2019,141.69,142.19,142.2659,140.57,3347276
10/1/2019,143.66,145.59,147.35,143.54,2973714
9/30/2019,145.42,143.73,146.57,143.73,4004429
9/27/2019,143.24,144.41,145.09,142.38,2357082
9/26/2019,143.55,143.17,143.88,141.41,2314542
9/25/2019,143.16,141.74,143.63,140.8588,2546205
9/24/2019,141.68,142.5,142.89,141.07,3311171
9/23/2019,142.07,141.19,142.22,140.558,1850061
9/20/2019,141.88,143.25,143.83,141.82,5217881
9/19/2019,142.97,142.46,145.03,142.45,3182092
9/18/2019,142.22,142.05,142.3,140.51,1995159
9/17/2019,142.2,142.48,142.48,140.66,2940494
9/16/2019,142.48,142.56,143.64,142.27,1928500
9/13/2019,143.67,144.32,144.65,143.26,2206612
9/12/2019,143.62,144.03,144.04,141.88,2505432
9/11/2019,143.6,144.85,145.12,142.7051,3869731
9/10/2019,145.05,143,145.46,142.96,4979741
9/9/2019,142.6,140.59,143.02,140.46,4226944
9/6/2019,140.57,141.52,141.525,140.46,2577200
9/5/2019,140.97,138.3,141.695,138.05,5012914
9/4/2019,136.32,135.71,136.43,135.15,2262081
9/3/2019,134.1,134.85,134.9013,133.3301,2828242
8/30/2019,135.53,135.58,136.07,134.3627,2960594
8/29/2019,134.88,134.18,135.69,134.04,2972842
8/28/2019,132.76,130.44,132.89,130.04,2720362
8/27/2019,131.17,131.2,131.6961,130.31,4728392
8/26/2019,129.99,131.05,131.3,129.16,2836837
8/23/2019,129.57,133.63,134.26,128.83,4818759
8/22/2019,134.32,134.69,135.68,133.81,2695009
8/21/2019,134.25,134.96,135.94,133.8,2806774
8/20/2019,133,135.24,135.28,132.81,3018934
8/19/2019,135.04,134.88,136.33,134.88,3165436
8/16/2019,133.76,133.04,134.59,132.9539,3011993
8/15/2019,131.92,131.22,132.37,130.25,3738945
8/14/2019,131.25,133.91,134.16,130.98,5114159
8/13/2019,135.79,133.8,136.57,132.8058,4551170
8/12/2019,133.67,135.66,135.87,133.18,4083850
8/9/2019,136.13,139.27,139.31,135.35,5244594
8/8/2019,140.1,138.45,140.42,137.76,5261444
8/7/2019,139.11,138.74,139.58,136.4115,5931883
8/6/2019,140.73,142.03,142.47,139.31,5070650
8/5/2019,140.76,144.98,145.1,139.15,7114871
8/2/2019,147.25,149.03,152.95,145.59,8101720
8/1/2019,150.32,148.9,152.82,148.5,6344006
7/31/2019,148.24,149.7,150.18,146.39,3722907
7/30/2019,149.77,150,150.4,149.22,2632726
7/29/2019,150.88,151.11,151.48,150.32,2075528
7/26/2019,151.36,151,151.41,150.1,2904494
