Date,Close, Volume, Open, High, Low
1/24/2020,140.56,5580189,143.39,143.92,140.46
1/23/2020,142.87,5657790,144.2,144.4097,142.15
1/22/2020,143.89,16470430,143.32,145.79,142.55
1/21/2020,139.17,7244079,137.81,139.35,137.6
1/17/2020,138.31,5623336,136.54,138.33,136.16
1/16/2020,137.98,4320911,137.32,138.19,137.01
1/15/2020,136.62,4045952,136,138.055,135.71
1/14/2020,135.82,3683458,136.28,137.139,135.55
1/13/2020,136.6,3531572,135.48,136.64,135.07
1/10/2020,136.69,3255641,137,137.87,136.31
1/9/2020,136.74,3732830,135.74,136.79,135.31
1/8/2020,135.31,4346140,134.51,135.86,133.92
1/7/2020,134.19,3275968,133.69,134.96,133.4
1/6/2020,134.1,2426305,133.42,134.24,133.2
1/3/2020,134.34,2373676,133.57,134.86,133.56
1/2/2020,135.42,3148833,135,135.92,134.7701
12/31/2019,134.04,3778012,132.53,134.12,132.4
12/30/2019,132.81,4118937,135.2,135.3,132.5
12/27/2019,135.27,2752706,135,135.75,134.87
12/26/2019,134.91,2130706,134.98,135.3055,134.65
12/24/2019,134.98,1202087,135.61,135.62,134.61
12/23/2019,135.55,2803168,135.78,136.15,135
12/20/2019,135.59,7112072,135.74,136.42,134.95
12/19/2019,134.56,3866717,134.46,134.725,134.19
12/18/2019,134.41,3102353,134.55,135,134.1504
12/17/2019,134.22,2907547,134.28,134.69,133.46
12/16/2019,134.13,3049325,134.94,135.45,133.85
12/13/2019,134.21,2534970,134.75,135.5,134.01
12/12/2019,135.32,4824186,133.7,135.6604,133.66
12/11/2019,133.76,3953311,134.11,134.51,133.67
12/10/2019,133.91,3480385,133.92,134.84,133.56
12/9/2019,133.92,2978801,133.35,134.59,133.26
12/6/2019,133.22,3437994,132.75,133.89,132.7
12/5/2019,131.91,3598578,132.99,133.24,131.6264
12/4/2019,131.99,3530773,132.86,133.68,131.96
12/3/2019,132.12,3711071,132,132.44,130.689
12/2/2019,132.91,3067831,134.45,134.5,132.48
11/29/2019,134.45,1825255,133.6,134.52,133.03
11/27/2019,133.77,3282827,135.35,135.71,133.62
11/26/2019,135.09,3793337,136.15,136.15,134.77
11/25/2019,135.97,2590170,134.47,136,134.35
11/22/2019,134.34,3297797,134.19,134.65,133.59
11/21/2019,133.84,3345343,133.4,134.17,132.98
11/20/2019,133.2,4140148,134.06,134.4614,132.75
11/19/2019,134.52,2995071,134.88,135.38,134.46
11/18/2019,134.31,3210872,134.3,134.48,133.23
11/15/2019,134.4,3262656,134.39,135.12,134.03
11/14/2019,134,4231471,134.13,134.33,133.33
11/13/2019,134.48,3060924,135.39,135.58,133.845
11/12/2019,135.59,3046536,135.87,136.66,135.02
11/11/2019,135.47,2568755,137.2,137.2,135
11/8/2019,137.61,2278602,137.58,137.61,136.16
11/7/2019,137.69,4073908,137.87,139.135,137.58
11/6/2019,138.78,4477291,138,138.78,137.55
11/5/2019,137.89,3014961,137.8,138.76,137.63
11/4/2019,137.67,3335389,136.24,137.74,136.23
11/1/2019,135.53,3089789,134.5,135.56,134.09
10/31/2019,133.73,3412119,135.11,135.25,133.23
10/30/2019,135.25,2252989,133.83,135.28,133.2
10/29/2019,133.82,4160718,135.42,135.57,133.44
10/28/2019,135.97,3226132,136,136.63,135.445
10/25/2019,135.44,2579055,134.12,135.93,134.1
10/24/2019,134.07,2619309,134.83,135.07,133.3
10/23/2019,134.38,3627345,133.52,134.565,132.7
